Key,Value
ethnicity_riskgroupfirst_dose16 - under 40_asian_indian,ATRISK_ASNINDIAN_AGE16YR40YR_NVD1
ethnicity_riskgroupfirst_dose16 - under 40_asian_other,ATRISK_ASNOTHER_AGE16YR40YR_NVD1
ethnicity_riskgroupfirst_dose16 - under 40_asian_pak,ATRISK_ASNPAK_AGE16YR40YR_NVD1
ethnicity_riskgroupfirst_dose16 - under 40_black_african,ATRISK_BLKAFRIC_AGE16YR40YR_NVD1
ethnicity_riskgroupfirst_dose16 - under 40_black_caribbean,ATRISK_BLKCARIB_AGE16YR40YR_NVD1
ethnicity_riskgroupfirst_dose16 - under 40_black_other,ATRISK_BLKOTH_AGE16YR40YR_NVD1
ethnicity_riskgroupfirst_dose16 - under 40_chinese,ATRISK_CHINESE_AGE16YR40YR_NVD1
ethnicity_riskgroupfirst_dose16 - under 40_mixed_asian_bang,ATRISK_ASNBANG_AGE16YR40YR_NVD1
ethnicity_riskgroupfirst_dose16 - under 40_mixed_other,ATRISK_MXDOTHER_AGE16YR40YR_NVD1
ethnicity_riskgroupfirst_dose16 - under 40_mixed_white_african,ATRISK_MXDWHIBLKAFR_AGE16YR40YR_NVD1
ethnicity_riskgroupfirst_dose16 - under 40_mixed_white_asian,ATRISK_MXDWHIASN_AGE16YR40YR_NVD1
ethnicity_riskgroupfirst_dose16 - under 40_mixed_white_caribbean,ATRISK_MXDWHIBLKCAR_AGE16YR40YR_NVD1
ethnicity_riskgroupfirst_dose16 - under 40_non_other,ATRISK_UNMAPPABLE_AGE16YR40YR_NVD1
ethnicity_riskgroupfirst_dose16 - under 40_not_given_refused,ATRISK_NOTGIVPTREF_AGE16YR40YR_NVD1
ethnicity_riskgroupfirst_dose16 - under 40_not_recorded,ATRISK_NORECORD_AGE16YR40YR_NVD1
ethnicity_riskgroupfirst_dose16 - under 40_not_stated,ATRISK_NOTSTATED_AGE16YR40YR_NVD1
ethnicity_riskgroupfirst_dose16 - under 40_other,ATRISK_OTHER_AGE16YR40YR_NVD1
ethnicity_riskgroupfirst_dose16 - under 40_white_british,ATRISK_WHIBRIT_AGE16YR40YR_NVD1
ethnicity_riskgroupfirst_dose16 - under 40_white_irish,ATRISK_WHIIRISH_AGE16YR40YR_NVD1
ethnicity_riskgroupfirst_dose16 - under 40_white_other,ATRISK_WHIOTHER_AGE16YR40YR_NVD1
ethnicity_riskgroupfirst_dose40 - under 50_asian_indian,ATRISK_ASNINDIAN_AGE40YR50YR_NVD1
ethnicity_riskgroupfirst_dose40 - under 50_asian_other,ATRISK_ASNOTHER_AGE40YR50YR_NVD1
ethnicity_riskgroupfirst_dose40 - under 50_asian_pak,ATRISK_ASNPAK_AGE40YR50YR_NVD1
ethnicity_riskgroupfirst_dose40 - under 50_black_african,ATRISK_BLKAFRIC_AGE40YR50YR_NVD1
ethnicity_riskgroupfirst_dose40 - under 50_black_caribbean,ATRISK_BLKCARIB_AGE40YR50YR_NVD1
ethnicity_riskgroupfirst_dose40 - under 50_black_other,ATRISK_BLKOTH_AGE40YR50YR_NVD1
ethnicity_riskgroupfirst_dose40 - under 50_chinese,ATRISK_CHINESE_AGE40YR50YR_NVD1
ethnicity_riskgroupfirst_dose40 - under 50_mixed_asian_bang,ATRISK_ASNBANG_AGE40YR50YR_NVD1
ethnicity_riskgroupfirst_dose40 - under 50_mixed_other,ATRISK_MXDOTHER_AGE40YR50YR_NVD1
ethnicity_riskgroupfirst_dose40 - under 50_mixed_white_african,ATRISK_MXDWHIBLKAFR_AGE40YR50YR_NVD1
ethnicity_riskgroupfirst_dose40 - under 50_mixed_white_asian,ATRISK_MXDWHIASN_AGE40YR50YR_NVD1
ethnicity_riskgroupfirst_dose40 - under 50_mixed_white_caribbean,ATRISK_MXDWHIBLKCAR_AGE40YR50YR_NVD1
ethnicity_riskgroupfirst_dose40 - under 50_non_other,ATRISK_UNMAPPABLE_AGE40YR50YR_NVD1
ethnicity_riskgroupfirst_dose40 - under 50_not_given_refused,ATRISK_NOTGIVPTREF_AGE40YR50YR_NVD1
ethnicity_riskgroupfirst_dose40 - under 50_not_recorded,ATRISK_NORECORD_AGE40YR50YR_NVD1
ethnicity_riskgroupfirst_dose40 - under 50_not_stated,ATRISK_NOTSTATED_AGE40YR50YR_NVD1
ethnicity_riskgroupfirst_dose40 - under 50_other,ATRISK_OTHER_AGE40YR50YR_NVD1
ethnicity_riskgroupfirst_dose40 - under 50_white_british,ATRISK_WHIBRIT_AGE40YR50YR_NVD1
ethnicity_riskgroupfirst_dose40 - under 50_white_irish,ATRISK_WHIIRISH_AGE40YR50YR_NVD1
ethnicity_riskgroupfirst_dose40 - under 50_white_other,ATRISK_WHIOTHER_AGE40YR50YR_NVD1
ethnicity_riskgroupfirst_dose50 - under 65_asian_indian,ATRISK_ASNINDIAN_AGE50YR65YR_NVD1
ethnicity_riskgroupfirst_dose50 - under 65_asian_other,ATRISK_ASNOTHER_AGE50YR65YR_NVD1
ethnicity_riskgroupfirst_dose50 - under 65_asian_pak,ATRISK_ASNPAK_AGE50YR65YR_NVD1
ethnicity_riskgroupfirst_dose50 - under 65_black_african,ATRISK_BLKAFRIC_AGE50YR65YR_NVD1
ethnicity_riskgroupfirst_dose50 - under 65_black_caribbean,ATRISK_BLKCARIB_AGE50YR65YR_NVD1
ethnicity_riskgroupfirst_dose50 - under 65_black_other,ATRISK_BLKOTH_AGE50YR65YR_NVD1
ethnicity_riskgroupfirst_dose50 - under 65_chinese,ATRISK_CHINESE_AGE50YR65YR_NVD1
ethnicity_riskgroupfirst_dose50 - under 65_mixed_asian_bang,ATRISK_ASNBANG_AGE50YR65YR_NVD1
ethnicity_riskgroupfirst_dose50 - under 65_mixed_other,ATRISK_MXDOTHER_AGE50YR65YR_NVD1
ethnicity_riskgroupfirst_dose50 - under 65_mixed_white_african,ATRISK_MXDWHIBLKAFR_AGE50YR65YR_NVD1
ethnicity_riskgroupfirst_dose50 - under 65_mixed_white_asian,ATRISK_MXDWHIASN_AGE50YR65YR_NVD1
ethnicity_riskgroupfirst_dose50 - under 65_mixed_white_caribbean,ATRISK_MXDWHIBLKCAR_AGE50YR65YR_NVD1
ethnicity_riskgroupfirst_dose50 - under 65_non_other,ATRISK_UNMAPPABLE_AGE50YR65YR_NVD1
ethnicity_riskgroupfirst_dose50 - under 65_not_given_refused,ATRISK_NOTGIVPTREF_AGE50YR65YR_NVD1
ethnicity_riskgroupfirst_dose50 - under 65_not_recorded,ATRISK_NORECORD_AGE50YR65YR_NVD1
ethnicity_riskgroupfirst_dose50 - under 65_not_stated,ATRISK_NOTSTATED_AGE50YR65YR_NVD1
ethnicity_riskgroupfirst_dose50 - under 65_other,ATRISK_OTHER_AGE50YR65YR_NVD1
ethnicity_riskgroupfirst_dose50 - under 65_white_british,ATRISK_WHIBRIT_AGE50YR65YR_NVD1
ethnicity_riskgroupfirst_dose50 - under 65_white_irish,ATRISK_WHIIRISH_AGE50YR65YR_NVD1
ethnicity_riskgroupfirst_dose50 - under 65_white_other,ATRISK_WHIOTHER_AGE50YR65YR_NVD1
ethnicity_riskgroupfirst_dose65 plus_asian_indian,ATRISK_ASNINDIAN_AGE65PL_NVD1
ethnicity_riskgroupfirst_dose65 plus_asian_other,ATRISK_ASNOTHER_AGE65PL_NVD1
ethnicity_riskgroupfirst_dose65 plus_asian_pak,ATRISK_ASNPAK_AGE65PL_NVD1
ethnicity_riskgroupfirst_dose65 plus_black_african,ATRISK_BLKAFRIC_AGE65PL_NVD1
ethnicity_riskgroupfirst_dose65 plus_black_caribbean,ATRISK_BLKCARIB_AGE65PL_NVD1
ethnicity_riskgroupfirst_dose65 plus_black_other,ATRISK_BLKOTH_AGE65PL_NVD1
ethnicity_riskgroupfirst_dose65 plus_chinese,ATRISK_CHINESE_AGE65PL_NVD1
